[2023-12-27 18:04:59,401: INFO: main: welcome to our project]
[2023-12-29 17:18:46,550: INFO: main: welcome to our project]
[2023-12-30 12:48:17,706: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2023-12-30 12:48:17,722: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-30 12:48:17,773: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-30 12:48:17,774: INFO: common: created directory at: artifacts]
[2023-12-30 12:48:17,775: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-30 12:48:17,776: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1-cwAn35Yvx4JjPcgZoDS3hYAP_F2U8ZB/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-30 12:49:09,263: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1-cwAn35Yvx4JjPcgZoDS3hYAP_F2U8ZB/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-30 12:49:37,363: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
